Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"0.15","0.31","5.82"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"6.7800","153.9683","0.3112","1.0000"
"6.8000","154.0019","0.3112","1.0000"
"6.8200","153.9234","0.3112","1.0000"
"6.8400","153.9296","0.3112","1.0000"
"6.8600","154.0530","0.3112","1.0000"
"6.8800","154.0969","0.3112","1.0000"
"6.9000","154.0665","0.3112","1.0000"
"6.9200","154.0968","0.3112","1.0000"
"6.9400","154.0486","0.3112","1.0000"
"6.9600","153.9186","0.3112","1.0000"
"6.9800","153.9239","0.3112","1.0000"
"7.0000","154.0290","0.3112","1.0000"
"7.0200","153.9548","0.3112","1.0000"
"7.0400","153.9037","0.3112","1.0000"
"7.0600","154.0087","0.3112","1.0000"
"7.0800","154.0467","0.3112","1.0000"
"7.1000","153.8460","0.3112","1.0000"
"7.1200","153.9127","0.3112","1.0000"
"7.1400","153.9044","0.3112","1.0000"
"7.1600","153.8641","0.3112","1.0000"
"7.1800","153.9027","0.3112","1.0000"
"7.2000","153.9312","0.3112","1.0000"
"7.2200","153.8510","0.3112","1.0000"
"7.2400","153.8450","0.3112","1.0000"
"7.2600","153.9988","0.3112","1.0000"
"7.2800","153.9945","0.3112","1.0000"
"7.3000","153.9063","0.3112","1.0000"
"7.3200","153.9493","0.3112","1.0000"
"7.3400","154.0073","0.3112","1.0000"
"7.3600","153.8676","0.3112","1.0000"
"7.3800","153.7823","0.3112","1.0000"
"7.4000","153.7861","0.3112","1.0000"
"7.4200","153.7804","0.3112","1.0000"
"7.4400","153.9003","0.3112","1.0000"
"7.4600","153.9460","0.3112","1.0000"
"7.4800","153.8016","0.3112","1.0000"
"7.5000","153.6745","0.3112","1.0000"
"7.5200","153.8394","0.3112","1.0000"
"7.5400","153.7670","0.3112","1.0000"
"7.5600","153.5922","0.3112","1.0000"
"7.5800","153.7815","0.3112","1.0000"
"7.6000","153.8309","0.3112","1.0000"
"7.6200","153.7008","0.3112","1.0000"
"7.6400","153.6738","0.3112","1.0000"
"7.6600","153.7871","0.3112","1.0000"
"7.6800","153.7239","0.3112","1.0000"
"7.7000","153.6637","0.3112","1.0000"
"7.7200","153.8136","0.3112","1.0000"
"7.7400","153.8135","0.3112","1.0000"
"7.7600","153.7338","0.3112","1.0000"
