Results Table 1
,Force at Preset point (PIP 1),Displacement at Preset point (PIP 1),Time at Preset point (PIP 1)
,(kN),(mm),(s)
1,"-----","-----","-----"

Raw Data
Time,Force,Displacement,PIP count
(s),(N),(mm),
"9.7800","3817.0591","1.9445","0.0000"
"9.8000","3819.7058","1.9485","0.0000"
"9.8200","3822.2925","1.9525","0.0000"
"9.8400","3825.0835","1.9565","0.0000"
"9.8600","3828.0999","1.9606","0.0000"
"9.8800","3830.3911","1.9646","0.0000"
"9.9000","3832.6855","1.9685","0.0000"
"9.9200","3835.0247","1.9725","0.0000"
"9.9400","3836.9155","1.9764","0.0000"
"9.9600","3839.3792","1.9804","0.0000"
"9.9800","3842.3374","1.9844","0.0000"
"10.0000","3844.9500","1.9884","0.0000"
"10.0200","3847.9629","1.9925","0.0000"
"10.0400","3850.6101","1.9965","0.0000"
"10.0600","3852.5115","2.0005","0.0000"
"10.0800","3854.8223","2.0045","0.0000"
"10.1000","3857.2886","2.0084","0.0000"
"10.1200","3860.1023","2.0124","0.0000"
"10.1400","3863.3772","2.0165","0.0000"
"10.1600","3866.0381","2.0205","0.0000"
"10.1800","3867.8013","2.0245","0.0000"
"10.2000","3869.6465","2.0284","0.0000"
"10.2200","3871.6089","2.0324","0.0000"
"10.2400","3874.0168","2.0363","0.0000"
"10.2600","3877.1160","2.0403","0.0000"
"10.2800","3880.1675","2.0443","0.0000"
"10.3000","3883.4143","2.0484","0.0000"
"10.3200","3886.6663","2.0525","0.0000"
"10.3400","3889.0518","2.0565","0.0000"
"10.3600","3891.3306","2.0605","0.0000"
"10.3800","3893.4478","2.0645","0.0000"
"10.4000","3895.3948","2.0684","0.0000"
"10.4200","3898.0425","2.0725","0.0000"
"10.4400","3901.0300","2.0765","0.0000"
"10.4600","3903.6248","2.0806","0.0000"
"10.4800","3906.0886","2.0846","0.0000"
"10.5000","3908.0295","2.0886","0.0000"
"10.5200","3909.6560","2.0925","0.0000"
"10.5400","3912.1467","2.0964","0.0000"
"10.5600","3914.9534","2.1004","0.0000"
