Time,Force,Displacement,PIP count
(s),(N),(mm),
"2695.3370","-285.6761","0.2912","1.0000"
"2695.3570","-285.7198","0.2912","1.0000"
"2695.3770","-285.6393","0.2912","1.0000"
"2695.3970","-285.5827","0.2912","1.0000"
"2695.4170","-285.5283","0.2912","1.0000"
"2695.4370","-285.5969","0.2912","1.0000"
"2695.4570","-285.5869","0.2912","1.0000"
"2695.4770","-285.4926","0.2912","1.0000"
"2695.4970","-285.5426","0.2912","1.0000"
"2695.5170","-285.5694","0.2912","1.0000"
"2695.5370","-285.5612","0.2912","1.0000"
"2695.5570","-285.5133","0.2912","1.0000"
"2695.5770","-285.5512","0.2912","1.0000"
"2695.5970","-285.6911","0.2912","1.0000"
"2695.6170","-285.6545","0.2912","1.0000"
"2695.6370","-285.6699","0.2912","1.0000"
"2695.6570","-285.7069","0.2912","1.0000"
"2695.6770","-285.6408","0.2912","1.0000"
"2695.6970","-285.5897","0.2912","1.0000"
"2695.7170","-285.5820","0.2912","1.0000"
"2695.7370","-285.5784","0.2912","1.0000"
"2695.7570","-285.5938","0.2912","1.0000"
"2695.7770","-285.6435","0.2912","1.0000"
"2695.7970","-285.6037","0.2912","1.0000"
"2695.8170","-285.5734","0.2912","1.0000"
"2695.8370","-285.5815","0.2912","1.0000"
"2695.8570","-285.6748","0.2912","1.0000"
"2695.8770","-285.6590","0.2912","1.0000"
"2695.8970","-285.6687","0.2912","1.0000"
"2695.9170","-285.7139","0.2912","1.0000"
"2695.9370","-285.6377","0.2912","1.0000"
"2695.9570","-285.5930","0.2912","1.0000"
"2695.9770","-285.5898","0.2912","1.0000"
"2695.9970","-285.5693","0.2912","1.0000"
"2696.0170","-285.7398","0.2912","1.0000"
"2696.0370","-285.7248","0.2912","1.0000"
"2696.0570","-285.6584","0.2912","1.0000"
"2696.0770","-285.7247","0.2912","1.0000"
"2696.0970","-285.6202","0.2912","1.0000"
"2696.1170","-285.6009","0.2912","1.0000"
"2696.1370","-285.6709","0.2912","1.0000"
"2696.1570","-285.6390","0.2912","1.0000"
"2696.1770","-285.6955","0.2912","1.0000"
"2696.1970","-285.7540","0.2912","1.0000"
"2696.2170","-285.7916","0.2912","1.0000"
"2696.2370","-285.7282","0.2912","1.0000"
"2696.2570","-285.7336","0.2912","1.0000"
"2696.2770","-285.8284","0.2912","1.0000"
"2696.2970","-285.8079","0.2912","1.0000"
"2696.3170","-285.7567","0.2912","1.0000"
"2696.3370","-285.7731","0.2912","1.0000"
"2696.3570","-285.7507","0.2912","1.0000"
"2696.3770","-285.7546","0.2912","1.0000"
"2696.3970","-285.8049","0.2912","1.0000"
"2696.4170","-285.7822","0.2912","1.0000"
"2696.4370","-285.6998","0.2912","1.0000"
"2696.4570","-285.6550","0.2912","1.0000"
"2696.4770","-285.6869","0.2912","1.0000"
"2696.4970","-285.7538","0.2912","1.0000"
"2696.5170","-285.7700","0.2912","1.0000"
"2696.5370","-285.7645","0.2912","1.0000"
"2696.5570","-285.8265","0.2912","1.0000"
"2696.5770","-285.8243","0.2912","1.0000"
"2696.5970","-285.7460","0.2912","1.0000"
"2696.6170","-285.6198","0.2912","1.0000"
"2696.6370","-285.7119","0.2912","1.0000"
"2696.6570","-285.6999","0.2912","1.0000"
"2696.6770","-285.6845","0.2912","1.0000"
"2696.6970","-285.7407","0.2912","1.0000"
"2696.7170","-285.8098","0.2912","1.0000"
"2696.7370","-285.7773","0.2912","1.0000"
"2696.7570","-285.8082","0.2912","1.0000"
"2696.7770","-285.8708","0.2912","1.0000"
"2696.7970","-285.8756","0.2912","1.0000"
"2696.8170","-285.7923","0.2912","1.0000"
"2696.8370","-285.8145","0.2912","1.0000"
"2696.8570","-285.8604","0.2912","1.0000"
"2696.8770","-285.8265","0.2912","1.0000"
"2696.8970","-285.7646","0.2912","1.0000"
"2696.9170","-285.8111","0.2912","1.0000"
"2696.9370","-285.7772","0.2912","1.0000"
"2696.9570","-285.7596","0.2912","1.0000"
"2696.9770","-285.6921","0.2912","1.0000"
"2696.9970","-285.6888","0.2912","1.0000"
"2697.0170","-285.6991","0.2912","1.0000"
"2697.0370","-285.7835","0.2912","1.0000"
"2697.0570","-285.7562","0.2912","1.0000"
"2697.0770","-285.6867","0.2912","1.0000"
"2697.0970","-285.6964","0.2912","1.0000"
"2697.1170","-285.7706","0.2912","1.0000"
"2697.1370","-285.7657","0.2912","1.0000"
"2697.1570","-285.8412","0.2912","1.0000"
"2697.1770","-285.8659","0.2912","1.0000"
"2697.1970","-285.7623","0.2912","1.0000"
"2697.2170","-285.6702","0.2912","1.0000"
"2697.2370","-285.7256","0.2912","1.0000"
"2697.2570","-285.7876","0.2912","1.0000"
"2697.2770","-285.7984","0.2912","1.0000"
"2697.2970","-285.7704","0.2912","1.0000"
"2697.3170","-285.7175","0.2912","1.0000"
"2697.3370","-285.7565","0.2912","1.0000"
"2697.3570","-285.7489","0.2912","1.0000"
"2697.3770","-285.8705","0.2912","1.0000"
"2697.3970","-285.8150","0.2912","1.0000"
"2697.4170","-285.8219","0.2912","1.0000"
"2697.4370","-285.7883","0.2912","1.0000"
"2697.4570","-285.6451","0.2912","1.0000"
"2697.4770","-285.7732","0.2912","1.0000"
"2697.4970","-285.8838","0.2912","1.0000"
"2697.5170","-285.7957","0.2912","1.0000"
"2697.5370","-285.7061","0.2912","1.0000"
"2697.5570","-285.7807","0.2912","1.0000"
"2697.5770","-285.8378","0.2912","1.0000"
"2697.5970","-285.7868","0.2912","1.0000"
"2697.6170","-285.7695","0.2912","1.0000"
"2697.6370","-285.7057","0.2912","1.0000"
"2697.6570","-285.7096","0.2912","1.0000"
"2697.6770","-285.7998","0.2912","1.0000"
"2697.6970","-285.8568","0.2912","1.0000"
"2697.7170","-285.8507","0.2912","1.0000"
"2697.7370","-285.8069","0.2912","1.0000"
"2697.7570","-285.7896","0.2912","1.0000"
"2697.7770","-285.8092","0.2912","1.0000"
"2697.7970","-285.8140","0.2912","1.0000"
"2697.8170","-285.8659","0.2912","1.0000"
"2697.8370","-285.8525","0.2912","1.0000"
"2697.8570","-285.8029","0.2912","1.0000"
"2697.8770","-285.6784","0.2912","1.0000"
"2697.8970","-285.7490","0.2912","1.0000"
"2697.9170","-285.7401","0.2912","1.0000"
"2697.9370","-285.6794","0.2912","1.0000"
"2697.9570","-285.7698","0.2912","1.0000"
"2697.9770","-285.8344","0.2912","1.0000"
"2697.9970","-285.8380","0.2912","1.0000"
"2698.0170","-285.8552","0.2912","1.0000"
"2698.0370","-285.7983","0.2912","1.0000"
"2698.0570","-285.8142","0.2912","1.0000"
"2698.0770","-285.7990","0.2912","1.0000"
"2698.0970","-285.8336","0.2912","1.0000"
"2698.1170","-285.7720","0.2912","1.0000"
"2698.1370","-285.8131","0.2912","1.0000"
"2698.1570","-285.8435","0.2912","1.0000"
"2698.1770","-285.8247","0.2912","1.0000"
"2698.1970","-285.7837","0.2912","1.0000"
"2698.2170","-285.8238","0.2912","1.0000"
"2698.2370","-285.7980","0.2912","1.0000"
"2698.2570","-285.7695","0.2912","1.0000"
"2698.2770","-285.7336","0.2912","1.0000"
"2698.2970","-285.7444","0.2912","1.0000"
"2698.3170","-285.8496","0.2912","1.0000"
"2698.3370","-285.8058","0.2912","1.0000"
"2698.3570","-285.7451","0.2912","1.0000"
"2698.3770","-285.7772","0.2912","1.0000"
"2698.3970","-285.7524","0.2912","1.0000"
"2698.4170","-285.8177","0.2912","1.0000"
"2698.4370","-285.9108","0.2912","1.0000"
"2698.4570","-285.9416","0.2912","1.0000"
"2698.4770","-285.9153","0.2912","1.0000"
"2698.4970","-285.8744","0.2912","1.0000"
"2698.5170","-285.9338","0.2912","1.0000"
"2698.5370","-285.9872","0.2912","1.0000"
"2698.5570","-285.9756","0.2912","1.0000"
"2698.5770","-285.9227","0.2912","1.0000"
"2698.5970","-285.9854","0.2912","1.0000"
"2698.6170","-286.0912","0.2912","1.0000"
"2698.6370","-285.9085","0.2912","1.0000"
"2698.6570","-285.9179","0.2912","1.0000"
"2698.6770","-285.9897","0.2912","1.0000"
"2698.6970","-285.9751","0.2912","1.0000"
"2698.7170","-285.9569","0.2912","1.0000"
"2698.7370","-286.0109","0.2912","1.0000"
"2698.7570","-285.9872","0.2912","1.0000"
"2698.7770","-285.8784","0.2912","1.0000"
"2698.7970","-285.9368","0.2912","1.0000"
"2698.8170","-285.9881","0.2912","1.0000"
"2698.8370","-285.9681","0.2912","1.0000"
"2698.8570","-285.9457","0.2912","1.0000"
"2698.8770","-285.9926","0.2912","1.0000"
"2698.8970","-286.0049","0.2912","1.0000"
"2698.9170","-285.9924","0.2912","1.0000"
"2698.9370","-286.0056","0.2912","1.0000"
"2698.9570","-286.0177","0.2912","1.0000"
"2698.9770","-286.0160","0.2912","1.0000"
